[569] Verdana
[570] Verdana-Bold
[571] Verdana-BoldItalic
[572] Verdana-Italic
[573] Waseem
[574] WaseemLight
[575] Webdings
[576] Wingdings-Regular
[577] Wingdings2
[578] Wingdings3
[579] ZapfDingbatsITC
[580] Zapfino
